N;Nome da Variável;Descrição da Variável;Tipo;Tam.(1);Categoria;"Coleta por ano (""s""=sim;""n""=não ) ";;;;;;;;;;;;;;;;;;;Notas Importantes
68;QT_MAT_MED_IFTP_QP_4;Número de Matrículas do Ensino Médio Regular (Formação Geral Básica - FGB) articuladas ao Itinerário Formativo Técnico Profissional (IFTP) - Qualificação Profissional - 4º ano/4ª Série;Num;8;Educação Profissional Não-Técnica;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;s;
69;QT_MAT_MED_IFTP_QP_NS;Número de Matrículas do Ensino Médio Regular (Formação Geral Básica - FGB) articuladas ao Itinerário Formativo Técnico Profissional (IFTP) - Qualificação Profissional - Não Seriado;Num;8;Educação Profissional Não-Técnica;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;s;
74;QT_MAT_MED_NM;Número de Matrículas do Ensino Médio Regular -  Modalidade Normal/Magistério;Num;8;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
75;QT_MAT_MED_NM_1;Número de Matrículas do Ensino Médio Regular -  Modalidade Normal/Magistério - 1º ano/1ª Série;Num;8;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
76;QT_MAT_MED_NM_2;Número de Matrículas do Ensino Médio Regular -  Modalidade Normal/Magistério - 2º ano/2ª Série;Num;8;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
77;QT_MAT_MED_NM_3;Número de Matrículas do Ensino Médio Regular -  Modalidade Normal/Magistério - 3º ano/3ª Série;Num;8;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
78;QT_MAT_MED_NM_4;Número de Matrículas do Ensino Médio Regular -  Modalidade Normal/Magistério - 4º ano/4ª Série;Num;8;;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;s;
79;QT_MAT_MED_IFA;Número de Matrículas do Ensino Médio Regular - Itinerário formativo de aprofundamento (IFA). Percursos educacionais estruturados de livre escolha dos estudantes, que permite aos educandos o aprofundamento de suas aprendizagens e de seu desenvolvimento em uma ou em mais áreas do conhecimento. Deve realizar-se por meio da oferta de projetos interdisciplinares e integradores, organizados com ênfase nos componentes curriculares que compõem a(s) área(s) de conhecimento eleitas, de modo a ampliar o diálogo entre as dimensões teóricas e práticas dos conteúdos, a consideração e valorização da diversidade territorial e cultural do Brasil e as escolhas estabelecidas na proposta pedagógica de cada unidade escolar.;Num;8;Aplicável apenas para turmas de ensino médio regular (propedêutico ou normal/magistério);n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;s;
80;QT_MAT_MED_IFA_LING;Número de Matrículas do Ensino Médio Regular - Área do Itinerário formativo de aprofundamento (IFA) - Linguagens e suas tecnologias;Num;8;Aplicável apenas para turmas de ensino médio regular (propedêutico ou normal/magistério);n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;s;
81;QT_MAT_MED_IFA_LING_MT;Número de Matrículas do Ensino Médio Regular - Área do Itinerário formativo de aprofundamento (IFA) - Linguagens e suas tecnologias na mesma turma;Num;8;Aplicável apenas para turmas de ensino médio regular (propedêutico ou normal/magistério);n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;s;
82;QT_MAT_MED_IFA_LING_OTME;Número de Matrículas do Ensino Médio Regular - Área do Itinerário formativo de aprofundamento (IFA) - Linguagens e suas tecnologias em outra turma da mesma escola;Num;8;Aplicável apenas para turmas de ensino médio regular (propedêutico ou normal/magistério);n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;s;
83;QT_MAT_MED_IFA_LING_OE;Número de Matrículas do Ensino Médio Regular - Área do Itinerário formativo de aprofundamento (IFA) - Linguagens e suas tecnologias em outra escola;Num;8;Aplicável apenas para turmas de ensino médio regular (propedêutico ou normal/magistério);n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;s;
84;QT_MAT_MED_IFA_MATE;Número de Matrículas do Ensino Médio Regular - Área do Itinerário formativo de aprofundamento (IFA) - Matemática e suas tecnologias;Num;8;Aplicável apenas para turmas de ensino médio regular (propedêutico ou normal/magistério);n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;s;
85;QT_MAT_MED_IFA_MATE_MT;Número de Matrículas do Ensino Médio Regular - Área do Itinerário formativo de aprofundamento (IFA) - Matemática e suas tecnologias na mesma turma;Num;8;Aplicável apenas para turmas de ensino médio regular (propedêutico ou normal/magistério);n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;n;s;
